Category,Code,Percentage Change
PEEDUCA,32,161.81342781597675
PEEDUCA,32,56.91058795807889
PEEDUCA,37,-27.055458894565543
PEEDUCA,37,38.85139371845067
PEEDUCA,41,204.1856416472649
PEEDUCA,41,36.94678521270762
PEEDUCA,41,-39.607735724101815
PEEDUCA,41,85.54152859949362
PEEDUCA,46,137.98826652409178
PEEDUCA,46,-60.12600308735403
PEEDUCA,46,-59.91024650549418
PEEDUCA,45,-41.875492619046774
PEEDUCA,45,-4.7211088980385885
PEEDUCA,34,228.85380722343336
PEEDUCA,34,-55.19130213735613
PEEDUCA,34,57.67918578388846
PRCHLD,3,-8.547712615467121
PRCHLD,3,-67.8014698911217
PRCHLD,3,220.53392804621404
PRCHLD,3,2.162210665763702
PRCHLD,0,6.7330960671251106
PRCHLD,0,12.373406456282465
PRCHLD,0,9.879862192151451
PRCHLD,0,-6.0579570736041415
PRCHLD,4,-28.094994210686924
PRCHLD,4,-21.547440242659523
PRCHLD,4,-41.73978747664551
PRCHLD,4,-6.663377245216076
PRCHLD,1,26.29159820601734
PRCHLD,1,-18.09636303495671
PRCHLD,1,13.31198149671362
PRCHLD,2,-1.2450137877033747
PRCHLD,2,176.78765733856824
PRCHLD,10,-64.72393452658811
PRCHLD,10,148.6500029867259
PRCHLD,10,-40.3158863046931
PRCHLD,10,26.630210332571085
PRCHLD,14,35.232638634596114
PRCHLD,14,-71.61669988544544
PRCHLD,14,37.68309920384492
PRCHLD,5,2.025264211745947
PRCHLD,6,-9.977207268560594
PRCHLD,11,-4.745312196337775
PRCHLD,8,34.81270003435772
